trajectory_id,model,policy,model_run_id,data_file,data_path,num_samples,task_success,task_completion,task_completion_time_s,executed_steps,final_goal_error,initial_goal_error,min_distance_to_obstacle_surface,control_hz,target_control_dt_s,measured_hz,measured_loop_dt_mean_s,measured_loop_dt_p95_s,inference_dt_mean_s,inference_dt_p95_s,control_overrun_ratio,start_xyz,goal_xyz,obstacle_xyz,obstacle_radius,goal_tolerance,reached_goal,timed_out,max_steps,ckpt,action_select,elapsed_time_s,model_type,num_candidates,safety_margin,safety_shield
85,koopman,koopman,35,p2p_koopman_data_035.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_035.npz,6762,True,1.0,83.9,6712,0.0039183576591312885,0.368513822555542,0.047462690621614456,80.0,0.0125,80.00838654411714,0.01249868973983863,0.012519247112873114,0.004368179954681201,0.004924904493316424,0.5464473946562205,"[0.1723938137292862, 0.14118029177188873, 0.052064936608076096]","[0.5405336022377014, 0.15757983922958374, 0.04949647933244705]","[0.35023680329322815, 0.14765197038650513, 0.04901504144072533]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,84.35887250637099,koopman,1,0.01,False
86,koopman,koopman,36,p2p_koopman_data_036.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_036.npz,7031,True,1.0,87.5125,7001,0.003331930609419942,0.37605005502700806,0.04612662270665169,80.0,0.0125,80.01231698613509,0.012498075767175754,0.012526326877323319,0.0038980606555950176,0.004599738221967372,0.5024734039839297,"[0.1858140528202057, 0.15358050167560577, 0.04980483278632164]","[0.561582088470459, 0.1390373259782791, 0.04908216372132301]","[0.35911619663238525, 0.14856119453907013, 0.04945290461182594]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,87.94401054777902,koopman,1,0.01,False
87,koopman,koopman,37,p2p_koopman_data_037.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_037.npz,6893,True,1.0,85.575,6846,0.001109879813157022,0.3795362114906311,0.05500151589512825,80.0,0.0125,79.99170114078484,0.012501296831280121,0.01253308510537811,0.0040573993262699205,0.004707086464602893,0.4927130182317309,"[0.18380221724510193, 0.12512999773025513, 0.04922250285744667]","[0.561881422996521, 0.15835154056549072, 0.048799581825733185]","[0.3697822093963623, 0.14777302742004395, 0.04846591502428055]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,86.0807392373658,koopman,1,0.01,False
88,koopman,koopman,38,p2p_koopman_data_038.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_038.npz,7144,True,1.0,88.8875,7111,0.004447565879672766,0.3609147071838379,0.05582133308053017,80.0,0.0125,79.99513169705241,0.01250076071862817,0.012532011320058184,0.004198686289545282,0.004859446173198073,0.5121836655150849,"[0.18566015362739563, 0.1516491025686264, 0.04853341355919838]","[0.5465524196624756, 0.15567326545715332, 0.04857964441180229]","[0.34949222207069397, 0.14475543797016144, 0.050570353865623474]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,89.27101998898245,koopman,1,0.01,False
89,koopman,koopman,39,p2p_koopman_data_039.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_039.npz,6468,True,1.0,80.2375,6419,0.0029645231552422047,0.37496861815452576,0.03644615039229393,80.0,0.0125,80.01272024661588,0.012498012777440781,0.012520477912182387,0.0038270709512040887,0.004523591472986198,0.4758920876983593,"[0.17648769915103912, 0.1665308177471161, 0.05085214972496033]","[0.5511398315429688, 0.15133704245090485, 0.048325736075639725]","[0.3605007231235504, 0.14681731164455414, 0.04955144226551056]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,80.56710028597611,koopman,1,0.01,False
90,koopman,koopman,40,p2p_koopman_data_040.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_040.npz,6867,True,1.0,85.4125,6833,0.003126809373497963,0.3828275203704834,0.03261568024754524,80.0,0.0125,80.01497294325942,0.012497660915402976,0.012526372133053597,0.004361015657274018,0.004917402993088747,0.4796918518608266,"[0.16838185489177704, 0.15953099727630615, 0.051942650228738785]","[0.5511113405227661, 0.15194100141525269, 0.04776627570390701]","[0.3676893413066864, 0.17151428759098053, 0.04919221252202988]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,85.78080341954575,koopman,1,0.01,False
91,koopman,koopman,41,p2p_koopman_data_041.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_041.npz,6726,True,1.0,83.5875,6687,0.0030888428445905447,0.39951783418655396,0.07074058055877686,80.0,0.0125,79.99611019309354,0.01250060781188252,0.012530147673445737,0.003948709157158764,0.004527821994269463,0.5381661199159636,"[0.1711849868297577, 0.12669405341148376, 0.05079635605216026]","[0.5703768730163574, 0.1427716314792633, 0.05215343460440636]","[0.36000320315361023, 0.15662845969200134, 0.04944637790322304]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,83.7918534743595,koopman,1,0.01,False
92,koopman,koopman,42,p2p_koopman_data_042.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_042.npz,7129,True,1.0,88.5,7080,0.002129359869286418,0.3851039409637451,0.03438670560717583,80.0,0.0125,79.97996043458356,0.012503131966636946,0.012523417856560838,0.004287673881941085,0.00482359364510046,0.4918836426417824,"[0.18368950486183167, 0.16794119775295258, 0.04715043306350708]","[0.5669888854026794, 0.13080962002277374, 0.04995601996779442]","[0.36412349343299866, 0.16389936208724976, 0.051404573023319244]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,88.92687344119534,koopman,1,0.01,False
93,koopman,koopman,43,p2p_koopman_data_043.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_043.npz,6845,True,1.0,85.1,6808,0.002708513056859374,0.3692683279514313,0.03190254792571068,80.0,0.0125,79.98808330276592,0.012501862261342884,0.012534195915924628,0.0038017365887928795,0.00446276140050038,0.509991384021198,"[0.18171069025993347, 0.15874914824962616, 0.052604250609874725]","[0.5509530901908875, 0.15945100784301758, 0.04828571155667305]","[0.360528826713562, 0.14236235618591309, 0.05055379495024681]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,85.57721177303667,koopman,1,0.01,False
94,koopman,koopman,44,p2p_koopman_data_044.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_044.npz,6870,True,1.0,85.35,6828,0.004586227238178253,0.39330947399139404,0.058025527745485306,80.0,0.0125,79.99146688106725,0.012501333442063488,0.012522097098557285,0.004092592578753262,0.004684067651913314,0.47671674888761145,"[0.16929522156715393, 0.15696121752262115, 0.05135718733072281]","[0.5624944567680359, 0.16620440781116486, 0.05022710561752319]","[0.3589271306991577, 0.15201959013938904, 0.05158410593867302]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,85.72735512282905,koopman,1,0.01,False
95,koopman,koopman,45,p2p_koopman_data_045.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_045.npz,6856,True,1.0,85.35,6828,0.0017013881588354707,0.37233367562294006,0.041940491646528244,80.0,0.0125,79.99739570551962,0.012500406934259767,0.012521597674074361,0.0042749803736755266,0.004713849670365842,0.51833336867974,"[0.18065227568149567, 0.1528988778591156, 0.04973600432276726]","[0.5528656840324402, 0.1623457819223404, 0.05026629939675331]","[0.3630118668079376, 0.15062543749809265, 0.04888541251420975]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,85.76753683676003,koopman,1,0.01,False
96,koopman,koopman,46,p2p_koopman_data_046.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_046.npz,6763,True,1.0,84.075,6726,0.005763459485024214,0.3611719310283661,0.05244078114628792,80.0,0.0125,79.97579590201829,0.012503783034871475,0.012528189839951711,0.004119300095886908,0.004827942065269244,0.5464305872657511,"[0.1884768009185791, 0.1550295352935791, 0.051058173179626465]","[0.5496458411216736, 0.15410690009593964, 0.0499468557536602]","[0.35951587557792664, 0.15084877610206604, 0.0481661893427372]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,84.42661335959421,koopman,1,0.01,False
97,koopman,koopman,47,p2p_koopman_data_047.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_047.npz,7001,True,1.0,87.0,6960,0.00520344078540802,0.3711734414100647,0.06311546266078949,80.0,0.0125,79.97293959983135,0.01250422961821587,0.012527175068268503,0.0042153234452541825,0.00474589736183855,0.5046857880181082,"[0.18289317190647125, 0.15588872134685516, 0.04746999219059944]","[0.5537634491920471, 0.1409313976764679, 0.04857239872217178]","[0.3813678026199341, 0.16357560455799103, 0.05050087347626686]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,87.36133174882075,koopman,1,0.01,False
98,koopman,koopman,48,p2p_koopman_data_048.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_048.npz,6677,True,1.0,82.9875,6639,0.0041249035857617855,0.35322949290275574,0.07062608003616333,80.0,0.0125,79.96060694320119,0.012506158197502615,0.012537288632020924,0.003895697447318789,0.004508581797048483,0.5218347656807264,"[0.18736843764781952, 0.16960544884204865, 0.048347387462854385]","[0.5403014421463013, 0.15518125891685486, 0.04949335381388664]","[0.3637619614601135, 0.14040988683700562, 0.049380503594875336]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,83.33701649282817,koopman,1,0.01,False
99,koopman,koopman,49,p2p_koopman_data_049.npz,logs/p2p_rollout_50/npz/p2p_koopman_data_049.npz,6677,True,1.0,82.9,6632,0.0026544895954430103,0.37734895944595337,0.024116281419992447,80.0,0.0125,79.98717792934134,0.012502003769696374,0.012531354492281687,0.004374031904890607,0.005066832044045226,0.5184717816463762,"[0.1753566563129425, 0.14454345405101776, 0.052003711462020874]","[0.5526790618896484, 0.14776264131069183, 0.04888971522450447]","[0.34906309843063354, 0.12207569181919098, 0.052000001072883606]",0.06,0.01,True,False,30000,/home/peiqi/projects-2026/Diffusion_Koopman_AVs/results/p2pobstacle_koopman_v1_s30/balanced/koopman_epoch200.pt,mean,83.12128152930192,koopman,1,0.01,False
